text_akhir,label
everyone looks thin outdated except high blurry,-1
say allie wiped earth,0
sometimes good c real people change,1
like hitler,1
many cars etc made north korea whatever happens,0
sure never put saddle horse,1
good documentary film remember alexander great kasim soleimani died u president orders murder middle east camel es hump front,-1
thank indeed documentary film,1
like scourge christianity muslimism large small scale good bad expanded changing cultural character embrace thing happens imperialism everyone made mcdonald harley davidson even remember north korean fought member states moreover combined un security council even country tightly closed far western standards regardless authoritarian regime must learn dance tone world leaders stand let go citizens marunneda rosaja switzerland ancient athens total rules democracy,1
uniparty wants total control population,0
imagine many years ago one friends took next played game became worker meanwhile became totalitarian dictator one closed countries world,1
reason like us let continue,1
wonder military industrial complexes really need remain relevant,0
america west oppress poor world strengths come bad leaders america free palestine,-1
kim responsible north korea,1
least hide crime say nato,-1
please tell video taken,1
barge,0
one thing know kim always eats well raid gathered jump standing clapping like trained seal really astounding,1
yoo,0
aunt leave killer poisoned oil hand,-1
funny disgusting cia government killed people,-1
funniest thing ever seen crowd around thin fat must go north korean buffet every day make look like,1
give us world kim god,1
god jesus,1
us raided many countries north korean leaders dictators,0
could horse bring,0
kim gangster trump admires,1
dictator mindset many factors played collectively mindset dictator,1
people fat,0
kim jong sdang bayi,0
one feels like video feels like watching another episode biography cartels breaking bad hats go vince gilligan another masterpiece,1
china also like north korea mns freedom speech bcz xi jinping covid case increased lot,1
love u love estest lovely,1
interesting documentary film thank producing kind content learned lot detailed informative documentary film deserve get recognition,1
call royalties daughter glorifies regime,1
grateful national geographic shares video free nothing free remember pay video hating country point embarrassed,1
bosnia herzegovina angelina dol says blood honey true,1
ten times worse person runs country robbed country years dividing people power,-1
us embassy escape north korea,1
kim middles,0
lower brick,-1
ever said terrorist network american british world killing million ppls,-1
people whistling mandarin fat korean officials look fat ordinary people malnourished,0
crime dear uncle noble archeological city,1
best show ever watched school,1
every time see rocket boy everything planned see biden,0
pumpkin road like wet pants,1
feel bad horse,-1
poor horses bring great fat leaders,1
national geographic please tugu version,1
everyone clapped smile truth inside,1
sallam indonesia siti aisyah trapped innocent,-1
report true neurotoxin used absorbed skin cancels statement made killer applied hand provide interview also difficult see action interview today video without hesitation made ai truth salt grain,1
everyone pose gun something interesting happens front row pointed snout away kim jong un guy left directly right kim pointed rd man th th muzzle way discipline trigger good man middle impossible except message ask ask still alive,1
afford nation nation danger leaders monster state country,-1
macho comments ever seen state world tyranny different system live choices freedoms,1
little bad dictator clean soft little reminded several politicians mexico steal little,-1
good man ignores,1
channel filming really blowing,0
north korea chinese orders china says jump kim answers high boss ha ha,1
trump wants welcomed like god entered room eye roll,1
according documentary kim jong un draco malfoy north korea,0
fbi uses kills,-1
jyiu tauprem lear sa dewa dewa likes prices values ecowteniarqtion take oriented life mkae ntrabtacarun way,1
national geo,0
evri country heve wright kim see americans benefit surre,1
imagine reading old year book find kim jong unk classmates remember time beat basketball,0
want know cut hair like kim,1
ehe lose weight,-1
nutrition nation,0
located time,0
sweet daughter trusted fake smile said everything lol,1
fourth power fourth power india north korea ranked th,0
say died treated heart attack smoking,-1
applauded kim john clap lives,1
call women unconsciously made kill someone killer many sensational,-1
ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarapanbreakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast breakfast b breakfast,0
ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda ua ua ua ua ua ua uaget tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya uedaya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya ueda ueda uedatatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda ua ua ua ua ua ua uaget tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya uedaya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya ueda ueda ueda tatsuyaueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda ua ua ua ua ua ua uaget tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya uedaya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya tatsuya ueda ueda ueda tatsuya uedatatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda tatsuya ueda ua ua ua ua ua ua ua uaget tatsuya ue ue sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarapansarapan sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap sarap,0
good cop bad cop,-1
believe guys lying,-1
say one biggest military world jet tanks weapons mostly still cold war era even soldiers trying escape north korea always roam civilians military people never threw excessively hitler tries govern similar dictators entering yet,-1
means difficult,-1
think cameraman inspired interview film,1
crazy leader,-1
kim jong king,0
make mother atomic bomb,-1
hate dictator,-1
legal shutdown one options,1
take strength use strength,1
sadly beyond belief,-1
jet crash mountain,-1
two women clean could tell,1
father mistakes burden world save,-1
trump north korea make large comeback,0
legend say us policy follow us dictator regime things xd welp person says f us xd,1
second dictator ilham aliev azerbaijan,0
leaders low thoughts leaders,-1
really said running dry cleanser needed life complete,0
bad hair day every day makes kim jong un unexpected dangerous,-1
everything wasted military people improved starving durianism,-1
two momos plates,0
socialist fairyland possible throwing us specialists political marketing good direct interposed influence,1
understand see north korean film documentary us continents stay continent take care business least talk terror done serbia syria iran iraq,-1
video propaganda,-1
need new episode fire,-1
poor horse bring weight,-1
south korea democratic party supports kim regime dictatorship far worse mr kim,1
relec,0
good,1
kerennn,0
rogue state according mean democratic cia interested nc cia judge dismantle countries agree okay west documentary foreign country documentary democracy used closing things sisters around world ppl support regime violence government said improve country stop attacking countries businesses citizens citizens certain countries solve political economic problems,1
already roque pala,0
body body badass,1
good things thank,1
dictatorship accepted world every country,1
funny listening western propaganda sold hell dollars dictators see country without leader leader like doll rope wants pull rather money every herd leader wolf even swan leader leads frame slices warm edge think enemies russia north korea chinese maybe government,-1
like north korea,1
know north korea christianity islam evil president mr president evil ruler people,-1
north korea beat course,0
intro agung think watching kimmy characteristic episode,0
cool connection national geography,1
eminem sing ra face visible,0
protecting child room create social isolation anxiety mentality neglect also triggers feelings rights boy believe obliged anything anyone time maintain character family imperialism formed child leave care mother,-1
obviously cia north korea dahhhhhh,0
help prison,-1
claim one biggest soldiers really called army army less eating look food enough oil gas turn lights trigger military vehicles senior commanders lead men battle,-1
throughout seo,0
sister gave vibration cruella deville eesh,0
scene makes kim jong un seems like commercial model old seasoning,1
nobody noticed looked like ball,1
south korea must make drama kim yoo jung,0
siri must indonesian malaysia,0
country boy boy working keep kim remains powerful feed upper class nomenklatura nk,1
killing president brother mean cruel crime brothers,-1
imagine person said kim jong un classmate,0
cameraman never turns,0
clap,0
family teur les tous,0
nora fatehi eggs also want thoughts remain russia like perrson remains russia,1
fun full horror,-1
stop people work video marie sulfur time threats brought bodies get morocco,-1
stop marie poutin video people make sulfur make steal give father children,-1
one centuries biggest tyranny together putin hopefully god forgives soul start war never fight proof true character,1
watched video nk recommendation complaining free natgeo,1
like lee dynasty many lee commented nk,1
hold everything locked examined kim controls everything think fraudulent,-1
kim jong wife person like,1
good documentary want mention great hopes north korea clear one wants world war kim jong un reminds younger men trying get respect world countries like america others drop angry reacts launch missiles true really developed,1
know afraid also know get away car,0
loves united states best interest allies kim jong un likes americans america,1
born ballshit,0
imagine realize killed brother dictator,-1
somaliland wants recognition,0
enjoy every bit thank,1
omg much adsssss,0
avsoma vedev,0
documentary lie gossip nothing fake story bastards criminals funded capitalist countries us gangs countries fought russia support criminal state israel,-1
great thing kim jong un preparing daughter separate hope leaders try get along,1
humpty dumpty horse became fatter fatter,0
kim knows world thinks haircut barber die seconds later,-1
white dresses change,0
story leader stands world order,0
severyone chose lap dance dancers warm usa categorized dictator,1
one must kind power criminals,-1
died medical treatment could place chemical biological agents hands without proper bio safety standard equipment receive medicine applying poison without self dying killing many people touch especially vx,-1
freeing north,1
joe biden next episode,0
whole country sick,-1
lol,1
learned fidel castro,0
think kim sister one calls shots,0
bloody circus,-1
tz friend patience,1
looks like senior agila,1
least dictated country like west dictated everything,1
daughter still,0
people worship like gods,1
compare anything godfather except shite,0
sister head brother laki face,0
pray happen need war anymore hopefully god helps us,1
man made horse look small potato balloon parade troops military fighting jokes world,-1
video filmed create fear among audience want know much paid make know people hate threatened,-1
godfather reference actually crazy lmao,1
cool,1
little extra kim jong nam died doused type toxic liquid siti aisyah malaysia international airport,-1
lala,0
siti aishah indonesian girl malaysian,0
justin trudeau much worse canada seen internationally good place people know experiencing,-1
rule country,0
thank interesting video,1
comedy know courage hand nothing happened,1
also know person goes school said good man time,1
believe even ride horse alone appointed monster exist look like humans,1
world leaders admire dictatorship,1
obscure north korean operations face,0
see dictator sits place god killer forget dictator charged dictator,-1
wrong fourth largest military india,-1
strong lidear,1
ok sound effect bald eagle cry mention defeat aunt uncle us embassy,-1
american official father,0
see well cia protects inform,1
appearance killer chance,-1
reality behind video hijacked national geographic channel,0
poor horse amiright,-1
th largest military think india china us russia top,1
story joke sounded made stupid,-1
america still worst,-1
north korean army undergoing difficult training fastest martial arts expert,-1
stay indoors years old wonder problems could normal person,-1
believe west never dolls,0
think sex,0
one best documentary films,1
person still building dynastic political heritage country bad,-1
mainly us sanctions violate law illegal get rid actions many choices keep people intact western never understand choose,-1
think group cowardly korean bag q alaudem likes cracker doll guy,1
annoying background music,-1
biggest dictator german merkel navalny law,0
words death uncle becoming leader,-1
continue voting democrats us,0
fooled bed,-1
watching videos arouse thought recording seems position strategically specially organized placements,0
world happened pigs ride horses,0
beautiful horse,1
interesting learn dangerous leader sister,-1
everything,0
good pig ranking north korea born kim jong il son inherited became ruler dropped good place caught,1
indeed dictator never attacks countries genocide taking people land taking oil us propaganda,1
everyone said enjoyed documentary one misusing kim,1
sister beautiful,1
america true dictator terrorism,-1
better american democracy,1
hmmmm,0
biggest dictator book biden obama clinton georg,0
person entered kim jong un president trump made behave eliminated kim jong un threat world president able,-1
please go gym often need lose weight,-1
chad,0
extraordinary people live like prisoners st century without freedom unity north korean people must take strong action happened past tries govern country decorator soory yaar korea unhappy life stress,-1
based industry robots god responsible everything wrong actions creations,1
god bless america,1
think human rights south korea obviously know south korean government captivates north koreans risk country korea fled south however south korean government accept koreans live abroad korean good example case south korean singer yoo seung joon,1
may god free people,1
make videos atankhwadhi modi,0
please translate hindi,1
reminds soviet union,0
western propaganda western media always enter nose support interests western political,1
smart youngest president,1
crazy,-1
feel sorry residents,-1
documentary far better involving trump bias,1
u west dictator make decisions us frees people slavery,-1
thank much everyone involved making extraordinary documentary film,1
united states allow country become developed country unless control power united states example shah iran truly trying modernize iran united states allowed ayatollah control country emptying back shah iran entered conditions saw today,1
applauded badly shoot,-1
extraordinary perspective new scene kingdom ascetic,0
kim jun shik nice,1
people dangerous people like given opportunity govern,1
former president moon jae eyes n k china,0
love india,1
became fan kim jong un today,1
kim jong name must fredo corleone,0
good documentary film,1
watched biggest american dictator,0
abe kitna jhoot bolo,0
senior agila serious,-1
north korea us submarine rain known beach bone rotate,0
difficult believe confident ng ng sharing stories considering channel tries stay news industry,1
sister looks really eager,1
documentary film translated portuguese,0
pressure experienced communist countries different democratic countries,-1
age people still reach ask money parents,0
feel interesting dangerous nerve agents placed naked women hurt,-1
justice hands god mr kim woah repent change way,1
kim sh ts bucket,0
hey tv,0
north korea looks dark night viewed iss praise night lights pollution,1
prankster secret assassin,0
king like family like king please tell leave alone china indian king joyou,1
much fish people,0
north korea countries kim studied eyes countries western gang western people want,1
sat describes humans,0
think biden tried way,0
wow nice job one,1
although like make fun nk becomes backward country several facilities family hopes one day seeing picture piece bread shows sophisticated matters shady global powers involved,1
thanks love,1
kim jong un one best politicians ever known world fail defeat mention name,-1
china country grows north korea russia three countries problem world,-1
know sister looks hatred god country criminal face,-1
victims,-1
see kim experiencing trauma parents aunt uncle leaving escape us without anyone cheating bocah left alone world alone faith without telling sad cruel everyone calls kim dictator traumatized,1
god responsible choose serve choose servant today house serve jehovah jos today crazy world madness comes men women urge eternal destruction various pleasures people immersed sin listen warnings appeal god tells people world choose servant today jos everything determined eternal destiny people need realize day sincerity grace humans ended god give anyone end world history five ten years years god allow anyone make reason delayed welcome also allow anyone say owner slow matthew luke carefully ignore opportunities privileges given us prepare big day everyone claims servant god called business last day every day talk fact come quickly sky extraordinary abilities glory delay time big baggage everyone sin forgiven christ insist sin singers clean heart purified truth jesus christ disaster soul seek protection christ disaster stand road change hearts god business careless fierce furious storm getting closer preparing maranata,1
american regime criminal cartel nk,-1
like know gets good right become paranoid people people build country knows rias side,1
mark walked auditorium received festive applause arrived seat peeked crowd could say wanted see clapping cheering frightening knew someone lineage would deleted day also knew knew people blood would deleted day removed day removed day removed day removed day removed day removed day removed day removed day removed day deleted day removed day removed day removed day removed day removed day,1
see every day us name biden,0
expect twist fist iron boys gentle pleasant,1
proud indian,1
context seems first part series came years kim jong un power,0
dsfsd,0
north korea secret revealed,0
kim best,1
long live dprk always highest greetings dprk leadership,1
yes idiots believe story jokes,1
truth documentary fact whether america jealous,-1
disguised devil,-1
plans make documents name state dictor us world work weapons business stimulate war,-1
know,0
dictators animals,0
climax story seems modi reality amit shah india,0
indonesia coy proud,1
happen kim es documentary,0
cholesterol get,0
dictator torn,-1
kidding,1
north korean president list names queens prepared expect responses queens live north korea dales p africa equator guinea,1
filipino women used visayan women,0
way documentary film permitted escape north korea paint evil small devil victim several ways,-1
tfw kim jong un better chair canter,1
poor horse animals beautiful,1
children children regret,-1
first part makes sense really believe girl cheated kill brother,-1
worse dictatorship west,-1
really made documentary kim jong un like made documentary penguin freakin,1
normal child,0
korean war korean war businessmen religious educators south korea contributed greatly development south korea political social scholarships stupid people left north korea good able eat,-1
north korea like us drive american made expedition,1
fight say,-1
want know knows one hated people planet,-1
prince straight horse remind putin horse riding,1
fight hole country,-1
need punishment,-1
looks funny horse sure needs ladder get,1
seeing horse remember majnu bhai painting,0
world cowardly shows people suffer even st century,-1
first mute vomited lies,-1
bad tunnel american documentary film boring date title clickbait cia random officials respect good wikipedia information,1
going kim jong un,0
turn applause festive applauded,1
cameraman never dies,0
open north korea world,0
secrets everywhere killers etc killed uncle brother etc given information west,-1
everyone talks dictator etc one discusses causes north korea like america tell us,1
asi version cartman south park,0
still intimidated worst enemy diabetes,-1
th largest military nk us china russia india greater namely nk th may largest,1
deadly nerve agent oil hand affected propaganda,1
male family battle foreign countries ever understood,-1
people oppose insults weapons selling funding terrorist policies talib policies pm president dictator country rules business,-1
soft dictator haha nice,1
american propaganda channel,-1
kim feel like plastic bag floating wind wanted start,1
long keep clapping,0
lol even shoot targets,1
imagine knowing years study one famous dictators,0
human stuff kept boy may,0
hindi,0
whole world impressed,1
love north korea,1
idahodian people,0
tadderik,0
propaganda video calls state naughty north korea see nuclear iligutamate test,-1
existant,0
one dream reuniting two korea really like review history also study every strong politician find purpose hidden pres kim dream reunite rule entire peninsula like china dream reunite islands people colonialist countries threatened destroyed history country philippines fan kim america european countries fact want freedom become free colonialism pres xi china,1
world th largest military stupidity,-1
lipid pot clown,0
said kim jong un poster boy sister true dictator,1
north korean panda rides horse,0
every leader world dilemma,-1
harriila tax wa er palantesty baske,0
good documentary film sister dw say betta,1
high key kim yo jong kind criminal,0
years old,0
want marry north korean woman,1
europe breeds many dictators terrorists,-1
kim yo jong reminds kdrama watched time called witch yoo hee,-1
running modern country losing clutches exclusive bring nk st century still full control,-1
maomao,0
kim u r long distance cousin missing seriously,-1
empathize saying want know know normal joke maybe reason lies stupidity,-1
great documentary movies,1
sorry believe girl two girls knew exactly leather cream aim eyes thought joke would stay back let know joke leather cream left immediately washed hand knew,1
scary terrible experienced north koreans,-1
know many things people never happen north korean agent really chooses good partner,1
wow speak badly north korea comments automatically deleted,1
poor horse must leave short haircut fat back,-1
difficult make head wrapped around seeing kim jong un ride horse maybe photo preceded,-1
actually disappointed title clickbaiting must called minds everyone kim family besides kim jong un,-1
ng mouth us microphone,0
better time try look benjamin netanyahu mind wants evacuate palestinian people land lived thousands years,1
godfather,0
cover dictator fatter every day,0
record indeed suicide mission,-1
video environment north korea cleaner south korea,1
dang pauly must heavier,0
sister rather sexy,1
first scene horse riding panda,0
nice keep brand name nat geo,1
also local representative sat,0
balik dajodide used,0
episode really makes really make like,1
world want accept north korea one countries like india nuclear power exist whatever negotiations given world even means war,1
rip horse,0
excellent documentary film,1
propaganda channel,-1
way came horse looked like elephant sitting horse,1
honest people changed years,1
also trust sister need see knows looks eyes people take last breath jung family vial,1
dude hated cut,-1
must come lb life,0
think prevent north korea china attacks taiwan,-1
chemical material affect two women bare hands without protection suspicious,1
freemason handshake,0
freemason like sister,1
man wavy pigs,0
ignored generation become western doll named dictator world world know original thief,-1
immediately man residents take revenge,-1
placed south korea military year love people feel bad north koreans afraid death,-1
chinese japanese,0
well entertaining funny many viewers think educated informed,1
omg poor horse,-1
staged know,0
pig horse,0
largest conclusive vision,1
bro north korea th largest military salah india,0
airport killed kim jong nam wearing gray suit showed body wore blue jeans shirts,-1
men father relationship,0
believe woman true force seems like highest leader kim jon un,1
indoctrination hatred survive several generations north korea really see us bad sometimes know lot haters backyard,-1
oh god see men plan created,1
little girl applauded cries visits school photo op rip,-1
fourth largest army hmm north korean army absolute joke may many small malnutrition troops running around technological advanced weapon fight real real forces also north korea try fight hours day state electricity turned,-1
face ratio large head,0
animal deserves national geographical event,0
woman handling deadly vx nerve agent accept endanger far know baby oil cosmetics hands know clean soon possible,1
make post says truth,1
feel sad see army girls clapping jumping know carefully monitored someone find someone acting differently family may disappear,-1
kim kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
see fear eyes,-1
jesus christ,0
ft pork fat evil worst,-1
ayah united snakes,1
cameraman,0
riding horse,0
kim yeo jung,0
camerad joan dar,0
joan arc kim yeo jung,0
kim yeo jung jandarkushi korean peninsula,0
landing dewa toma ahn jung still missing time difference waits mancuria overwhelmed mickey front lim jin pakg,-1
yeouido bomb yongsan beggar see dulgul seocho,-1
republic democratic people republic democratic republic korean peninsula connects mac governor korean peninsula government,0
live yeo soo mosesin,0
jung eun knows well publishes pisoo juche juche heaven rinmin national pride best,1
north korea compatriot korea korean country like country land land leadership leadership leadership leadership leadership leadership leadership leadership pyongyang pyongyang hours freedom bururni brinn beyond pyongyang freedom brinn beyond pyond pyongyang,1
intigrit dignity respect greatness,1
brother traffic jam uck,0
think launch missile headquarters,0
cameral long kim,0
puppy,0
th largest military hear properly since big military,0
enough beat south korea,0
one treats slave kahn seeing bill remains another choice makes afraid,0
trust west even west never received dictator rules land world,1
young women know done lie know see fast come jokes least see laughing trying tell joke,1
kim really wrong understand,-1
means kim jong nam betrayed country family,-1
horse must reluctant get potato sack back,-1
someone protects people alone culture makes weapons disturbing enter real king,-1
kuala lumpur airport one limiting airports,0
two women know,0
imagine would kju aunts uncle brought,0
looks like egg hair,1
indonesian,0
slavery still,-1
cool video kim rd documentary today attractive man,1
amazing video suction national geographical video long youtube,1
negatif media propaganda imbang pandang pimpin kuasa atur lepas loop nk kuasa powerstuntits pikir laku harus hormat recealsity non non non non non non non revisi west revisi dunia revisi damai,-1
quality must k,0
many kim jong un smirk reminds azula avatar,0
content extraordinary outside words word book revelation hidden empire private world elite ceo adam skylight,0
bro signal leader thousands people stopped clap started writing simultaneously want know written,-1
jesus chinna krist commander strength,1
dangerous panda,-1
mirror changes clip,0
dictated,0
everyone clapping live alone,-1
violence people occurs democratic world,-1
political systems control methods west money controls everything every person suction money say western people professionals controlling masses whole world perfect nk savage also debt fraud scheme literally slavery chance nk people breed anymore years whole country go directly star trek,-1
kim kima kichhoot,0
want know whether happy things interests material basically royalties ask happy life whether tense frightening,1
fat trip breasts,0
communism,0
like doll,1
forced like kim jong un,-1
see hear north korea,0
never heard real life stories good police bad police,-1
survival films must made cameraman,0
country careful choose wisely people importantly choose,1
look turkmenistan,0
north korea killer joke bro,-1
north korea original korean chemical added natural,1
country starring dictator,0
babu raja kaa binatang buas farend like,1
afraid war permitted australia,-1
dilemma us leaders comply billionaires military industry complex use taxpayers finance endless war foreign land use taxpayers give people home tents live affordable lectures health care risk unable nominate next term office billionaires support anymore,-1
way people korean peninsula peaceful,1
fabulous,1
sister house hahahahahahaha,0
come north korea,0
kim find gave lil shuddered,0
diet,0
potato,0
junkyard china military room like dictators,1
encourage audience diligent watch dictator dilemma taking world stage great game add history n korea plus events lead end ww cold war begin understand stumbling block peace two neighbors also easy understand korea release nuclear program point leaders north korea south desire move forward towards peace one problem flies continue float unwanted invited,1
sister dangerous kim yo jung takes office world needs worry,-1
family,0
everybody us hates dictator western propaganda belongs ng give us break bs like,-1
western leaders love president one hundred percent guarantee country corrupt,1
lies merggi media mm,-1
hegemonic countries mock authoritarian countries,-1
apparently one ate country,0
western hypocrisy always exposes,-1
dsl everything got remind dnsl lol clip,1
see many people brainwashed,0
granddaughter father guess child,0
oke cod,0
without people israel america world mother,0
psy,0
gla liver,1
know kim jong un,0
sister looks good,1
ibash dear video good idbamini love comes amino,1
like puts every korean person torture,-1
want know dictator sheikh hasina called bangladeshi pm,1
poor horse weight back,-1
part motherly uncle left sad unfair kim least explain leaving adult would understand maybe still alive,-1
kim yo jong smile haunt dream,1
leader country america decrease logic,0
us media reports lot time jokes consider seriously forget government us media report iraq weapon mass destruction iraqi war images videos kinds evidence everything looks real finally found,-1
lineline latelate,0
kim used wear chicago bulls merch,0
c fib,0
oink,0
feel everything people north korea,0
several handsome body guards,1
devil country,-1
girl suspicious oil hand put hand man face died fine without bad effect asi humor funny,1
support right defend honorable kdhc people subject us imperialism us imperialism dictatorship south korea capitalist diktator south korean dictator capitalist south korean capitalist employs dogs southern capitalist palm south us imperialism joined hands billions dollars behind southern poor korea owner south korea doll us imperialism south korea occupation united states imperialis us imperialism soldiers south korea present world popular worker south korea state world originates hours weekly working hours suicide world south korea number one suicide korean children live career ambitions pressure led unemployment power north homeless south north health training paid south free north transportation paid south free north electricity water paid south north also free south nurseries paid free north unemployed south hungry north korea make citizens hungry war us imperialism threw napalm bombs chemical bombs doubled two atomic bombs threw japan north korea north korea lost thousand soldiers war millions people deactivated fixed children without mother father us want sign peace agreement kdhc condition brings war tears threaten humanity world us threatens humanity united states committed war crimes around world korea whole people people democrats us implemented embargo democratic people korea since gate closed us imperialism valid people north korea regulate nuclear weapons leave us back mirror thing see barbarism north korea threat country,-1
soon started video words looked sad,-1
stared dead eyes scared,-1
kim yo jun daughter ice thought dropped higher chin would tripped feet could say thought someone else least wanted think careful know camera looked tough worse needs strong arm stand guard stop eating weight mcdonald every day always wonder good wife education like edited spelling,1
looks like something film james bond,1
dictator becomes rich people starving,1
kim american allies labeled dictator best part,1
fatboy,0
rocketman flying,0
worst country world visit,-1
volggar kim mama,0
hate us us,-1
war live,-1
noble horse rider physically mighty got father father,1
minutes women know,0
clapping,0
small thick rocket man,0
silo films inspired north korea,1
great documentary seen north korea like really shows kim want know whether school friends accepted,1
weird found interesting sister,1
documentary million iraqi people died us nato,-1
never understand sick obsession twisted us dictators general even certain time century us fascinated hitler many years later became public enemy many others korean man understand countries hostile us group makes small laugh,1
america biased opinion kims,-1
children clap cry,-1
meet chinese world leader,0
know trump friendly dictator,1
unlike nk documentary films one surprisingly broad minded also produced well,1
north korea homeless country,0
get rid fat horse,0
interesting robot north korea pple move clap unison rather cool rather scary,1
thank posting long time things changed north korea maybe life,1
finished playing car,1
 uar                                   ,0
deceive one person leaders deceive people people deceive leaders showing fake faces emotions see know fraud employed forever end truth civilization,-1
washed brains fear,-1
little kim around long time guarantee ate lot drinks lot chain smoker live age grandfather father happens sister responsible scary,0
god works mysteriously,1
nerve agent affect,0
haircut seems suitable someone thinner head,0
preside northern korea cantik,0
pria roket babi  ,0
without watching documentary want say things impossible least difficult take another route besides faces see something think north korea good place damned damned,-1
thank sponsoring video,1
girl full story make sense,0
think video explains kim entirely best,1
god real active god tells truth vivek us president,1
give horse,0
always good give women strength,1
never find mass show set hysterically earth offer sympathy north korean public,1
government rule people use violence terror dictator criminal regime blablabla piece imperialist propaganda video,-1
crossing road make cakes,0
really bad family sister gets evil smiling smile,-1
plot twist kim jung un decided modern overall korea kim dynasty china japan fighting land occupied united nations hear korea occupied,1
true dictator usa,1
stupid american propaganda,-1
th largest military es numbers one billion troops equipped paper weapons mean anything american troops placed south korea enough prevent north korea invaders,-1
christmas presence one thinks today might recover,0
ko k zelenesy job,0
hyun bin character crash landing based kim jong un,-1
round pigs ride white pigs,0
horse driven sad,-1
brother looked like strong character laugh looked scary,1
videos explanations fake staged paint bad believe sorry,-1
many lives ruined little,-1
lie kim sister bit bad whether right real,-1
watch albania,0
top box applies us publication top notre dame box name,1
one considers sister bit hot,0
bias documentary film,-1
randomly find yt feed extraordinary documentation learned many details vague info know sister know involved country,-1
americans western allies world propaganda machines accuse foreign countries iran north korea,-1
america western countries care foreign policy control western propaganda country make angry,-1
may god forgive brothers one day free,1
father also looks like things may spent many things teaching daughter darkening something one day ruler kingdom,1
sister kim lives original life kdrama,1
becomes best documentary film thank geographic national,1
difficult believe god know people situations like world millions millions live brutal rule far worse china russia something comes stone age true makes someone wonder,-1
war peaceful freedom slavery ignorance power,-1
enjoy watching documentary learn new things,1
kim jong un really excited surprising entertain parents fight korean politicians korea best world,1
us chance fight korea,-1
americans judge others land call leaders heinous name sanctions country share values america taught open mind respect opinions others even like hypocrites,1
honest poor man lacking love making bad,1
usa real state terrorists,-1
quora korea going king core asia ministry lion collapsed transformer,-1
road,0
know got money might lie,0
kim one dum fuc actually mind certainly empathy conscience must psychopath,1
left handed government western communist government wants believe extreme right crony capitalist government,0
many films look like propaganda video kim jong un good man,1
rides horse stop laugh,1
sometimes appreciate someone leave almost everyone wants freedom get mean see evil dictator good side maintain protect nation fact began modernized filipino reaction documentary,1
like someone claims journalist say talk kim family zero photos literally evidence kim best friends live van photo evidence,1
really tense,-1
king kim,0
live peace submits information fbi rip,1
trying fill programmer position big problem,-1
crazy person clapping,-1
passion banquet cognac movie bond looks like fun man lol,1
thumb love kim jong un,1
sorry reason aunt uncle leave nephew bring united states,1
accent siti aisyah indonesia lives malaysia,0
miss xoxo,1
css,0
beautiful lil fella jk,1
psychiatric family sorry kim,-1
sister sexy,1
indonesia,0
north korean president hopefully always help gaza fight zionists israel us always slaughter civilians hopefully help gaza,1
agile senior,0
north korean leader plans take washington dc,0
thank much sharing,1
real democracy united states hands also clean,1
high value type diabetes,1
understand badass,1
hopefully philippines submitting killed front addicts people tiktok social media killed,-1
