text_stopword,text_akhir,label
"['respect', 'fact', 'n', 'korea', 'never', 'needed', 'world', 'survive', 'war', 'modern', 'foe', 'without', 'nukes', 'beat', 'bad']",respect fact n korea never needed world survive war modern foe without nukes beat bad,-1
"['every', 'dictador', 'world', 'always', 'fall', 'sooner', 'later', 'fall']",every dictador world always fall sooner later fall,0
"['people', 'live', 'like']",people live like,1
"['fatt', 'people', 'korea', 'nothing']",fatt people korea nothing,0
"['god', 'love']",god love,1
"['gift', 'god']",gift god,0
"['anyone', 'world', 'wants', 'kin', 'dead', 'happen', 'nothing', 'impossible']",anyone world wants kin dead happen nothing impossible,-1
"['clap', 'die', 'kim', 'jong', 'un', 'legacy']",clap die kim jong un legacy,0
"['twisted', 'pieces']",twisted pieces,-1
"['th', 'largest', 'military', 'whew', 'thats', 'titanic', 'stretch']",th largest military whew thats titanic stretch,0
"['boxed', 'living', 'bowered', 'time']",boxed living bowered time,0
"['fun', 'fact', 'fat', 'guy', 'north', 'korea']",fun fact fat guy north korea,1
"['funky', 'looking', 'men', 'yuk']",funky looking men yuk,0
"['kimberly', 'gong', 'guy', 'wants', 'followers', 'eat', 'one', 'another']",kimberly gong guy wants followers eat one another,1
"['like', 'consuming', 'western', 'propaganda']",like consuming western propaganda,0
"['got', 'wrong', 'dictatorship', 'like', 'china', 'says', 'democracy', 'north', 'korea', 'forced', 'democracy']",got wrong dictatorship like china says democracy north korea forced democracy,-1
"['find', 'interesting', 'association', 'commentary', 'kim', 'yo', 'jong', 'likened', 'shark', 'fact', 'life', 'shark', 'stops', 'swimming', 'dies', 'would', 'liken', 'cookie', 'smart', 'intelligent', 'one', 'thus', 'posing', 'question', 'cookie', 'devour', 'shark', 'interesting', 'video', 'dilemma', 'time', 'hope', 'resolved', 'peacefully']",find interesting association commentary kim yo jong likened shark fact life shark stops swimming dies would liken cookie smart intelligent one thus posing question cookie devour shark interesting video dilemma time hope resolved peacefully,1
"['west', 'hated', 'south', 'korean', 'american', 'accent']",west hated south korean american accent,-1
"['thought', 'tradeau', 'video']",thought tradeau video,0
"['everyone', 'criticizing', 'n', 'k', 'regime', 'shosuld', 'actually', 'criticize', 'actually', 'terrorist', 'started', 'fueled', 'time']",everyone criticizing n k regime shosuld actually criticize actually terrorist started fueled time,0
"['going', 'north', 'korea', 'directly', 'responsible', 'even', 'equally', 'majorly']",going north korea directly responsible even equally majorly,1
"['hate', 'fact', 'interviewer', 'fake', 'everything', 'adding', 'cherries', 'everywhere']",hate fact interviewer fake everything adding cherries everywhere,-1
"['easily', 'guys', 'believe', 'everything', 'scary']",easily guys believe everything scary,0
['music'],music,0
['dumpling'],dumpling,0
"['presonaly', 'beleive', 'america', 'anything']",presonaly beleive america anything,0
"['years', 'old', 'eat', 'dumplings']",years old eat dumplings,0
"['usa', 'free', 'country', 'like', 'iran', 'syria', 'afghanistan']",usa free country like iran syria afghanistan,1
"['amazing', 'much', 'cheering', 'clapping', 'get', 'one', 'anti', 'aircraft', 'gun']",amazing much cheering clapping get one anti aircraft gun,1
"['bing', 'chilling', 'moment', 'north', 'korea', 'boys']",bing chilling moment north korea boys,-1
"['actually', 'people', 'north', 'korea', 'love', 'kim', 'see', 'general', 'people', 'crying', 'watch', 'kim', 'maybe', 'good', 'leader']",actually people north korea love kim see general people crying watch kim maybe good leader,1
"['ng', 'documentary', 'us', 'invasions', 'nations', 'destroyed', 'billions', 'lives']",ng documentary us invasions nations destroyed billions lives,0
"['want', 'understand', 'many', 'bad', 'things', 'happen', 'klia']",want understand many bad things happen klia,0
"['like', 'something', 'japanese', 'manga']",like something japanese manga,0
"['sad', 'still', 'millions', 'people', 'choice', 'brainwashed', 'since', 'birth', 'follow', 'clown', 'never', 'earned', 'one', 'thing', 'life']",sad still millions people choice brainwashed since birth follow clown never earned one thing life,-1
"['send', 'ambassador', 'rodman', 'back']",send ambassador rodman back,0
"['americans', 'part', 'world', 'lost', 'wars', 'committed', 'massacres', 'razed', 'entire', 'nation', 'ground', 'leave', 'tails', 'legs', 'want', 'revenge', 'wikileaks', 'shown', 'latest', 'long', 'history', 'crimes', 'humanity', 'perpetrated', 'us', 'everywhere', 'caused', 'wars', 'north', 'koreans', 'caused', 'trouble', 'anyone', 'bad', 'guys']",americans part world lost wars committed massacres razed entire nation ground leave tails legs want revenge wikileaks shown latest long history crimes humanity perpetrated us everywhere caused wars north koreans caused trouble anyone bad guys,0
"['pretty', 'scary', 'lengths', 'go', 'order', 'keep', 'regime', 'going', 'secret', 'would', 'think', 'safe', 'outside', 'country']",pretty scary lengths go order keep regime going secret would think safe outside country,0
"['documentary', 'like', 'still', 'made', 'premise', 'question', 'whether', 'going', 'rule', 'like', 'father', 'already', 'answered', 'past', 'decade', 'chosen', 'rule', 'like', 'father', 'retain', 'criminal', 'inhumane', 'regime']",documentary like still made premise question whether going rule like father already answered past decade chosen rule like father retain criminal inhumane regime,-1
"['usa', 'mind', 'business']",usa mind business,0
"['please', 'documentary', 'afghanistan', 'iran', 'america', 'destroy', 'countries']",please documentary afghanistan iran america destroy countries,0
"['believe', 'horse', 'riding', 'takes', 'many', 'rounds', 'filming']",believe horse riding takes many rounds filming,1
"['north', 'korean', 'advance', 'age', 'dog', 'eat', 'dog', 'rat', 'race', 'e', 'eryone', 'love', 'live', 'paradise', 'competition', 'equality', 'everyone', 'rat', 'race', 'die', 'ironic', 'people', 'want', 'communist', 'way', 'die']",north korean advance age dog eat dog rat race e eryone love live paradise competition equality everyone rat race die ironic people want communist way die,1
"['dictator', 'movie']",dictator movie,0
"['attack', 'usa', 'hthar', 'ends', 'life', 'end', 'north', 'koren']",attack usa hthar ends life end north koren,0
"['looks', 'like', 'nation', 'rather', 'leader']",looks like nation rather leader,0
"['question', 'military', 'north', 'korea', 'fully', 'support', 'kim', 'jong', 'unn', 'dictator', 'whole', 'military', 'slave', 'guy']",question military north korea fully support kim jong unn dictator whole military slave guy,0
"['easier', 'simpler', 'west', 'show', 'wisdom', 'lift', 'sanctions', 'least', 'ordinary', 'people', 'suffer', 'kim', 'western', 'governments', 'better', 'north', 'korean', 'one', 'foreign', 'policy', 'waiting', 'see', 'revolution', 'massacre', 'north', 'korea', 'come', 'mcdonald', 'sell', 'garbage', 'disgusting']",easier simpler west show wisdom lift sanctions least ordinary people suffer kim western governments better north korean one foreign policy waiting see revolution massacre north korea come mcdonald sell garbage disgusting,-1
"['like', 'freaking', 'robot', 'moment', 'signal', 'stop', 'clapping', 'immediately', 'went', 'writing']",like freaking robot moment signal stop clapping immediately went writing,0
"['huge', 'criminal', 'cartel', 'usa']",huge criminal cartel usa,0
"['despite', 'many', 'prediction', 'denouncement', 'country', 'thrives', 'years', 'well', 'longer', 'ussr', 'think', 'country', 'much', 'better', 'people', 'west', 'say']",despite many prediction denouncement country thrives years well longer ussr think country much better people west say,1
"['bruh', 'sister', 'baddie', 'ong']",bruh sister baddie ong,0
"['cut', 'pointless', 'stills', 'ominous', 'music', 'video', 'minutes', 'long']",cut pointless stills ominous music video minutes long,-1
"['north', 'korea', 'like', 'united', 'states', 'uk', 'corruption', 'illegal', 'sale', 'weapons', 'drugs', 'everything', 'perfect']",north korea like united states uk corruption illegal sale weapons drugs everything perfect,1
"['wonder', 'childhood', 'fault', 'passionate', 'becoming', 'powerfull', 'human', 'beings', 'lived', 'uncle', 'lot', 'would', 'change', 'bit', 'madness']",wonder childhood fault passionate becoming powerfull human beings lived uncle lot would change bit madness,1
"['disney', 'owns', 'national', 'geographic', 'alone', 'explain', 'able', 'pull', 'mess', 'mickey', 'mouse', 'ever', 'period']",disney owns national geographic alone explain able pull mess mickey mouse ever period,1
"['always', 'funny', 'actually', 'think', 'powerful', 'nation', 'idea', 'ignorance', 'bliss', 'haha', 'person', 'country', 'true', 'power', 'need', 'antics', 'really', 'c', 'mon', 'haha']",always funny actually think powerful nation idea ignorance bliss haha person country true power need antics really c mon haha,1
"['documentary', 'aladeen']",documentary aladeen,0
"['sorry', 'horse', 'carry', 'kim', 'funny', 'look']",sorry horse carry kim funny look,-1
"['last', 'one', 'stop', 'clapping', 'gulag', 'worse', 'nightmare', 'thanks', 'posting']",last one stop clapping gulag worse nightmare thanks posting,0
"['one', 'day', 'people', 'pay', 'consequence', 'action', 'humanity', 'play', 'like', 'god', 'humanity', 'control', 'self', 'destiny', 'bad', 'nothing', 'matter', 'time']",one day people pay consequence action humanity play like god humanity control self destiny bad nothing matter time,-1
"['gon', 'na', 'lie', 'kim', 'jong', 'un', 'sister', 'presence', 'way', 'intimidating', 'scary', 'looks', 'innocent']",gon na lie kim jong un sister presence way intimidating scary looks innocent,0
"['kim', 'jong', 'un', 'life', 'might', 'actually', 'like', 'michael', 'corleone', 'pretty', 'big', 'shoes', 'fill']",kim jong un life might actually like michael corleone pretty big shoes fill,0
"['find', 'interesting', 'people', 'applaud', 'bow']",find interesting people applaud bow,1
"['ww', 'nk', 'c', 'might', 'prob', 'solved']",ww nk c might prob solved,0
"['complete', 'documentary', 'without', 'one', 'nation', 'nearly', 'year', 'old', 'history', 'became', 'two', 'nations', 'divided', 'one', 'nation', 'two', 'nation', 'two', 'thousands', 'families', 'separated', 'life', 'today', 'anyone', 'west', 'asked', 'nations', 'put', 'line', 'dividing', 'one', 'nation', 'first', 'place', 'beginning', 'birth', 'kim', 'family', 'dictatorship', 'north', 'korea', 'kim', 'jong', 'un', 'become', 'rd', 'generation', 'regime']",complete documentary without one nation nearly year old history became two nations divided one nation two nation two thousands families separated life today anyone west asked nations put line dividing one nation first place beginning birth kim family dictatorship north korea kim jong un become rd generation regime,1
"['north', 'korea', 'also', 'one', 'biggest', 'crypto', 'hackers', 'ha', 'e', 'significant', 'source', 'income', 'method', 'would', 'say', 'country', 'embraced', 'cryptocurrency', 'country', 'world']",north korea also one biggest crypto hackers ha e significant source income method would say country embraced cryptocurrency country world,1
"['speak', 'ruthless', 'cruelty', 'world', 'without', 'also', 'speaking', 'ignorance', 'many', 'prank', 'channels', 'popping', 'internet', 'pranks', 'carry', 'things', 'far', 'expect', 'amnesty', 'victim', 'turns', 'defensive']",speak ruthless cruelty world without also speaking ignorance many prank channels popping internet pranks carry things far expect amnesty victim turns defensive,-1
"['creepy', 'gave', 'applause', 'entered', 'room', 'continuously', 'stop', 'together', 'ask', 'stop', 'n', 'like', 'nothing', 'happen', 'write', 'paper', 'crazy']",creepy gave applause entered room continuously stop together ask stop n like nothing happen write paper crazy,-1
"['wait', 'kids', 'crying', 'laughing', 'wait', 'crying', 'laughing']",wait kids crying laughing wait crying laughing,-1
"['lie', 'north', 'korea', 'body', 'unemployed', 'education', 'free', 'health', 'care', 'free', 'body', 'sleeps', 'street', 'else', 'want', 'socialist', 'advanced', 'country', 'dk', 'waste', 'time', 'brainwash', 'americans', 'indoctrinate', 'late', 'world', 'going', 'thru', 'gratitude', 'trsnsportation']",lie north korea body unemployed education free health care free body sleeps street else want socialist advanced country dk waste time brainwash americans indoctrinate late world going thru gratitude trsnsportation,1
"['music', 'behind', 'soo', 'loud', 'making', 'put', 'volume', 'could', 'listen', 'narator', 'need', 'synchronisation']",music behind soo loud making put volume could listen narator need synchronisation,-1
"['dictators', 'dilemma', 'erm', 'thaddayway']",dictators dilemma erm thaddayway,0
"['sounds', 'like', 'assassin', 'really', 'shut', 'girl', 'played', 'used', 'know']",sounds like assassin really shut girl played used know,1
"['interesting', 'document']",interesting document,1
"['worst', 'leader', 'ever']",worst leader ever,-1
"['many', 'guy', 'nt', 'know', 'south', 'north', 'korea', 'somehow', 'manage', 'know', 'excellent', 'ngc', 'thank', 'much', 'ngc', 'making', 'real', 'fake', 'documentary', 'may', 'god', 'bless', 'kamsahamnida']",many guy nt know south north korea somehow manage know excellent ngc thank much ngc making real fake documentary may god bless kamsahamnida,1
"['may', 'vel', 'paari', 'sanglimuthu', 'crackpot', 'commando', 'arthur', 'william', 'abernethy', 'devan', 'miser', 'tun', 'dr', 'mahathir', 'give']",may vel paari sanglimuthu crackpot commando arthur william abernethy devan miser tun dr mahathir give,0
"['anyone', 'notice', 'one', 'girl', 'crying', 'cheering', 'kim', 'jong', 'un', 'rest', 'kids', 'noticed', 'approached', 'little', 'girl', 'even', 'sat', 'beside', 'genuinely', 'worried', 'family', 'north', 'koreans', 'clap', 'leader', 'clapping', 'like', 'support', 'clapping', 'lives']",anyone notice one girl crying cheering kim jong un rest kids noticed approached little girl even sat beside genuinely worried family north koreans clap leader clapping like support clapping lives,0
"['believe', 'everything', 'see', 'hear', 'take', 'anything', 'fact', 'know', 'look', 'see', 'eyes', 'words', 'others', 'speck', 'dirt', 'wind', 'enemies', 'enemies', 'love', 'little', 'mind', 'smarter', 'need']",believe everything see hear take anything fact know look see eyes words others speck dirt wind enemies enemies love little mind smarter need,1
"['feel', 'sorry', 'two', 'women', 'involved', 'innocent', 'knew', 'nothing', 'plan']",feel sorry two women involved innocent knew nothing plan,0
"['propaganda', 'irak', 'massive', 'destruction', 'weapons']",propaganda irak massive destruction weapons,0
"['propaganda', 'video', 'nothing', 'proven', 'random', 'people', 'great', 'imagination']",propaganda video nothing proven random people great imagination,0
"['siti', 'aisyah', 'woman', 'indonesian']",siti aisyah woman indonesian,0
"['good', 'leader']",good leader,1
"['united', 'states', 'get', 'justice', 'done', 'otto']",united states get justice done otto,0
"['oriental', 'asians', 'mastermind', 'planning']",oriental asians mastermind planning,0
"['look', 'mind', 'control', 'people', 'unbelievable']",look mind control people unbelievable,-1
"['read', 'sister', 'terrifying', 'sounds']",read sister terrifying sounds,-1
"['support', 'country', 'uses', 'income', 'make', 'country', 'get', 'weapons']",support country uses income make country get weapons,0
"['permission', 'say', 'magic', 'words', 'saint', 'francis', 'assisi', 'went', 'syria', 'walk', 'country', 'another', 'brother', 'mission', 'peace', 'acre', 'find', 'sultan', 'mamluk', 'el', 'kamil', 'met', 'bedouin', 'soldiers', 'took', 'eventually', 'audience', 'sultan', 'said', 'sultan', 'impressed', 'francis', 'longing', 'peace', 'also', 'willingness', 'participate', 'trial', 'fire', 'one', 'sultan', 'magi', 'advisors', 'supposedly', 'admited', 'francis', 'even', 'sultan', 'power', 'conceed', 'humble', 'brotherly', 'appeal', 'following', 'might', 'destroy', 'magic', 'words', 'simply', 'beyond', 'capacity', 'imagine', 'words', 'might', 'changed', 'common', 'destiny']",permission say magic words saint francis assisi went syria walk country another brother mission peace acre find sultan mamluk el kamil met bedouin soldiers took eventually audience sultan said sultan impressed francis longing peace also willingness participate trial fire one sultan magi advisors supposedly admited francis even sultan power conceed humble brotherly appeal following might destroy magic words simply beyond capacity imagine words might changed common destiny,1
"['get', 'kim', 'jong', 'un', 'really', 'desire', 'country', 'developed', 'become', 'modern', 'world', 'instanly', 'also', 'threatening', 'position', 'suddenly', 'open', 'information', 'acces', 'outside', 'world', 'people', 'without', 'grasp', 'people', 'heart', 'first', 'come', 'sister', 'help', 'played', 'role', 'villain', 'step', 'step', 'let', 'sister', 'playing', 'iron', 'fist', 'rule', 'people', 'also', 'threatening', 'nation', 'maybe', 'someday', 'reach', 'climax', 'hate', 'domestic', 'internationaly', 'kim', 'jong', 'un', 'came', 'savior', 'save', 'country', 'villain', 'know', 'designed', 'kim', 'jong', 'un', 'manipulated', 'sister', 'later', 'sacrificing', 'country', 'development', 'know', 'even', 'though', 'supreme', 'leader', 'impossible', 'change', 'foundation', 'north', 'korean', 'rulling', 'system', 'sacrificing', 'something', 'either', 'seat', 'anyone', 'head', 'scapegoat']",get kim jong un really desire country developed become modern world instanly also threatening position suddenly open information acces outside world people without grasp people heart first come sister help played role villain step step let sister playing iron fist rule people also threatening nation maybe someday reach climax hate domestic internationaly kim jong un came savior save country villain know designed kim jong un manipulated sister later sacrificing country development know even though supreme leader impossible change foundation north korean rulling system sacrificing something either seat anyone head scapegoat,0
"['sidewinder', 'missile', 'shot', 'china', 'friendly', 'aliens', 'unprovoked', 'aircraft', 'fired', 'unto', 'others', 'would', 'done', 'go', 'lockheed', 'martin']",sidewinder missile shot china friendly aliens unprovoked aircraft fired unto others would done go lockheed martin,1
"['kim', 'watching', 'k']",kim watching k,0
"['watching', 'north', 'korea']",watching north korea,0
"['get', 'know', 'evil', 'north', 'korean', 'regime', 'credible', 'unbiased', 'sources', 'including', 'former', 'us', 'national', 'intelligence', 'officer', 'former', 'cia', 'officer', 'forner', 'bureau', 'chief', 'washington', 'post', 'former', 'bureau', 'chief', 'associated', 'press', 'us', 'based', 'self', 'taught', 'analyst', 'north', 'korea', 'former', 'national', 'security', 'ambassador', 'south', 'korea', 'propaganda', 'guise', 'documentary', 'know']",get know evil north korean regime credible unbiased sources including former us national intelligence officer former cia officer forner bureau chief washington post former bureau chief associated press us based self taught analyst north korea former national security ambassador south korea propaganda guise documentary know,0
"['b', 'story', 'chick', 'absolutely', 'sure', 'thai', 'government', 'paid', 'find', 'innocent', 'trial']",b story chick absolutely sure thai government paid find innocent trial,1
"['kim', 'jong', 'looks', 'like', 'blimped', 'howdy', 'doodey']",kim jong looks like blimped howdy doodey,0
"['kim', 'want', 'cloned']",kim want cloned,0
"['made', 'dilemma', 'chosen', 'dictator', 'bye']",made dilemma chosen dictator bye,0
"['ever', 'get', 'tired', 'sticking', 'nose', 'air', 'american', 'thing', 'hope', 'knows', 'laughing', 'loud']",ever get tired sticking nose air american thing hope knows laughing loud,-1
"['every', 'country', 'government', 'deserve', 'seems', 'north', 'koreans', 'deserve', 'better']",every country government deserve seems north koreans deserve better,1
"['thought', 'pulled', 'back']",thought pulled back,0
"['jenny', 'craig', 'enemy', 'launching', 'icbms', 'almost', 'every', 'week', 'feed', 'people']",jenny craig enemy launching icbms almost every week feed people,0
"['despite', 'hope', 'somehow', 'lifestyle', 'shown', 'better', 'internet', 'propaganda', 'north', 'koreans', 'even', 'believe', 'mean', 'effective', 'propaganda', 'west', 'propagandized', 'like', 'north', 'unfortunately', 'fortunately', 'depending', 'look', 'north', 'korea', 'oil', 'anything', 'valuable', 'anything', 'help', 'people']",despite hope somehow lifestyle shown better internet propaganda north koreans even believe mean effective propaganda west propagandized like north unfortunately fortunately depending look north korea oil anything valuable anything help people,1
"['hopefully', 'end', 'kim', 'dynastie', 'north', 'korean', 'people', 'suffered', 'long', 'enough', 'deserve', 'free', 'either', 'democratic', 'country', 'reunited', 'south', 'korea']",hopefully end kim dynastie north korean people suffered long enough deserve free either democratic country reunited south korea,1
"['tyrant', 'dictator', 'murderer', 'drug', 'lord', 'people', 'north', 'korea', 'eccepts', 'rule', 'otherwise', 'people', 'north', 'korea', 'join', 'force', 'drive', 'country', 'democracy']",tyrant dictator murderer drug lord people north korea eccepts rule otherwise people north korea join force drive country democracy,0
"['one', 'best', 'great', 'legendary', 'dectator', 'president', 'historic', 'world', 'respect', 'salute', 'thank', 'much', 'sir']",one best great legendary dectator president historic world respect salute thank much sir,1
"['ugly', 'waste', 'air', 'inside']",ugly waste air inside,-1
['fat'],fat,0
"['pray', 'peace']",pray peace,0
"['interesting', 'teach', 'north', 'koreans', 'hate', 'america', 'yet', 'switzerland', 'attends', 'school', 'wearing', 'western', 'sports', 'clothes', 'jordan', 'sneakers', 'envy', 'countries', 'trying', 'fit', 'impress', 'kids', 'school', 'still', 'weird']",interesting teach north koreans hate america yet switzerland attends school wearing western sports clothes jordan sneakers envy countries trying fit impress kids school still weird,0
"['fat', 'person', 'north', 'korea', 'feel', 'sry', 'horse']",fat person north korea feel sry horse,0
"['reason', 'malaysia', 'become', 'favorite', 'spot', 'high', 'profile', 'crimes', 'plane', 'tragedy', 'terrorist', 'invasion', 'political', 'figure', 'assassination', 'list', 'continues', 'understandable', 'malaysia', 'ranked', 'amongst', 'least', 'secured', 'immigration', 'policy', 'world', 'sad']",reason malaysia become favorite spot high profile crimes plane tragedy terrorist invasion political figure assassination list continues understandable malaysia ranked amongst least secured immigration policy world sad,0
"['like', 'cartel', 'us', 'biden', 'cartel']",like cartel us biden cartel,0
"['good', 'documentaries', 'thats', 'sure']",good documentaries thats sure,1
"['oh', 'kimmie', 'country', 'glowing', 'years', 'strike', 'us']",oh kimmie country glowing years strike us,0
"['says', 'wanted', 'shooted', 'boom', 'boom', 'prank', 'travelers', 'get']",says wanted shooted boom boom prank travelers get,0
"['north', 'korea']",north korea,0
"['normal', 'royalties', 'kill', 'brother', 'like', 'west', 'east', 'west', 'nothing', 'different']",normal royalties kill brother like west east west nothing different,0
"['sounds', 'like', 'diabolical', 'soundtrack']",sounds like diabolical soundtrack,0
"['funny', 'youtube', 'play', 'one', 'mv', 'k', 'pop', 'song', 'ad', 'watch', 'video']",funny youtube play one mv k pop song ad watch video,1
"['bunch', 'yoyo']",bunch yoyo,0
"['amazing', 'video', 'thank']",amazing video thank,1
"['oh', 'god', 'sister', 'evil', 'threatens', 'us', 'america', 'consequences', 'understand', 'care', 'kind', 'government']",oh god sister evil threatens us america consequences understand care kind government,-1
"['would', 'stayed', 'sister', 'dying', 'people', 'always', 'come', 'america', 'protect', 'understand']",would stayed sister dying people always come america protect understand,0
"['honest', 'much', 'concern', 'war', 'drugs', 'matter', 'north', 'korea']",honest much concern war drugs matter north korea,1
"['north', 'korea', 'powerful', 'country', 'nukes', 'tanks', 'army']",north korea powerful country nukes tanks army,1
"['south', 'korea', 'would', 'perfect', 'parody', 'ridiculous', 'dictatorship', 'real', 'cruel', 'tragedy', 'fir', 'millions', 'people', 'inages', 'horrendous', 'cruelmente', 'hilarantes', 'en', 'español']",south korea would perfect parody ridiculous dictatorship real cruel tragedy fir millions people inages horrendous cruelmente hilarantes en español,-1
"['easily', 'become', 'anime', 'movei']",easily become anime movei,1
"['want', 'nk', 'end', 'decades', 'isolation', 'outside', 'world', 'end', 'sanctions', 'keep', 'american', 'troops', 'military', 'bases', 'sk', 'oh', 'stop', 'spreading', 'lies']",want nk end decades isolation outside world end sanctions keep american troops military bases sk oh stop spreading lies,0
"['beautiful', 'horse']",beautiful horse,1
"['feel', 'bad', 'horse']",feel bad horse,-1
"['feel', 'sad', 'north', 'korean']",feel sad north korean,-1
"['leave', 'vikings', 'hype']",leave vikings hype,0
"['dude', 'live', 'much', 'longer']",dude live much longer,1
"['come', 'together', 'realize', 'powerful', 'went', 'people', 'north', 'korea', 'come', 'together', 'put', 'animal', 'rest']",come together realize powerful went people north korea come together put animal rest,1
['clapping'],clapping,0
"['blows', 'away', 'kim', 'jong', 'un', 'one', 'year', 'older', 'done']",blows away kim jong un one year older done,1
"['cute', 'kid', 'never', 'think', 'end', 'serious', 'dictator']",cute kid never think end serious dictator,0
"['way', 'north', 'korea', 'makes', 'event', 'neuclear', 'war', 'get', 'vaporized', 'threats']",way north korea makes event neuclear war get vaporized threats,0
"['interesting', 'documentary', 'informative', 'made', 'wonder', 'china', 'north', 'korea', 'leaders', 'governments']",interesting documentary informative made wonder china north korea leaders governments,1
"['ads', 'tube', 'getting', 'offensive', 'yes', 'offended']",ads tube getting offensive yes offended,0
"['anyone', 'else', 'wondering', 'girl', 'substance', 'hand', 'got', 'sick', 'nerve', 'poison']",anyone else wondering girl substance hand got sick nerve poison,-1
"['listening', 'podcast', 'yeonmi', 'park', 'joe', 'rogan', 'understand', 'exaggerated', 'expressions', 'around', 'dictator', 'life', 'death', 'situation']",listening podcast yeonmi park joe rogan understand exaggerated expressions around dictator life death situation,-1
"['writes', 'tripe']",writes tripe,0
"['got', 'give', 'props', 'north', 'korea', 'keeping', 'secrecy', 'principle', 'today', 'everyone', 'f', 'grid', 'internet']",got give props north korea keeping secrecy principle today everyone f grid internet,0
"['also', 'used', 'agree', 'north', 'korea', 'scary', 'freedom', 'intensive', 'south', 'korea', 'developed', 'free', 'older', 'get', 'feel', 'north', 'korea', 'also', 'bright', 'side', 'least', 'people', 'vying', 'beautiful', 'bully', 'like', 'south', 'korea', 'look', 'south', 'korea', 'people', 'technologically', 'advanced', 'stress', 'suicide', 'rates', 'high', 'due', 'economic', 'competition', 'appearance', 'comes', 'first', 'say', 'north', 'korea', 'worse', 'south', 'korea', 'south', 'korea', 'better', 'north', 'korea', 'course', 'plus', 'minus', 'sides', 'example', 'current', 'situation', 'north', 'korea', 'turns', 'better', 'people', 'sometimes', 'people', 'much', 'freedom', 'opinion', 'excessive', 'arbitrary', 'like', 'happening', 'country', 'indonesia', 'right', 'president', 'soeharto', 'power', 'dictator', 'indonesian', 'people', 'carelessly', 'bully', 'barbaric', 'opinions', 'freedom', 'opinion', 'upheld', 'look', 'netizens', 'barbaric', 'opinions', 'social', 'media', 'sometimes', 'country', 'kind', 'society', 'suitable', 'led', 'dictator']",also used agree north korea scary freedom intensive south korea developed free older get feel north korea also bright side least people vying beautiful bully like south korea look south korea people technologically advanced stress suicide rates high due economic competition appearance comes first say north korea worse south korea south korea better north korea course plus minus sides example current situation north korea turns better people sometimes people much freedom opinion excessive arbitrary like happening country indonesia right president soeharto power dictator indonesian people carelessly bully barbaric opinions freedom opinion upheld look netizens barbaric opinions social media sometimes country kind society suitable led dictator,1
"['wow', 'interesting', 'watch', 'solid', 'documentary']",wow interesting watch solid documentary,1
"['ang', 'dictator', 'means', 'money', 'good', 'business']",ang dictator means money good business,1
"['wonder', 'video', 'adopted', 'educational', 'purposes', 'south', 'korea']",wonder video adopted educational purposes south korea,1
"['bad', 'leadir', 'pre', 'devil', 'country', 'north', 'koria', 'saw', 'manny', 'pepole', 'sucrifice', 'control', 'saw', 'sad']",bad leadir pre devil country north koria saw manny pepole sucrifice control saw sad,-1
"['know', 'vision', 'believe', 'see', 'terrible', 'trigger', 'discipline']",know vision believe see terrible trigger discipline,-1
"['similar', 'hitler', 'stalin', 'crazy', 'psychopaths', 'mind', 'killing', 'stay', 'power', 'anything', 'mind', 'sacrificing', 'people', 'even', 'family', 'members', 'go', 'take', 'others', 'scary', 'part']",similar hitler stalin crazy psychopaths mind killing stay power anything mind sacrificing people even family members go take others scary part,-1
"['people', 'automatons', 'clap', 'laugh', 'cry', 'things', 'show', 'family', 'get', 'punished']",people automatons clap laugh cry things show family get punished,1
"['eco', 'friendly', 'dictator']",eco friendly dictator,1
"['nice', 'known', 'little', 'guy', 'kim', 'small', 'country']",nice known little guy kim small country,0
"['faced', 'death', 'penalty', 'got', 'years', 'instead']",faced death penalty got years instead,0
"['kim', 'jong', 'un', 'actor', 'powers', 'another', 'power', 'underground']",kim jong un actor powers another power underground,0
"['believe', 'chicks']",believe chicks,0
"['best', 'documentaries', 'north', 'korea']",best documentaries north korea,1
"['informative', 'thanks']",informative thanks,1
"['bro', 'largest', 'military', 'rip', 'india', 'laughing', 'loud']",bro largest military rip india laughing loud,0
"['ruthless', 'political', 'assassination']",ruthless political assassination,-1
"['watching', 'pm', 'th', 'february', 'says', 'th', 'february']",watching pm th february says th february,0
"['truth', 'kim', 'jong', 'un', 'never', 'get', 'war', 'killed', 'children', 'iraq', 'palestine', 'country', 'america', 'isrea']",truth kim jong un never get war killed children iraq palestine country america isrea,-1
"['kim', 'yo', 'jong', 'smile', 'actually', 'scares', 'nothing', 'genuine', 'eyes']",kim yo jong smile actually scares nothing genuine eyes,1
"['honestly', 'think', 'choice']",honestly think choice,1
['need'],need,0
"['americans', 'stand', 'countries', 'ahem', 'different', 'opinions']",americans stand countries ahem different opinions,0
"['chinese', 'leadership', 'acting', 'like', 'lowly', 'thugs', 'north', 'korea', 'thugs', 'must', 'held', 'responsible', 'moronic', 'behaviour']",chinese leadership acting like lowly thugs north korea thugs must held responsible moronic behaviour,0
"['great', 'documentary', 'highly', 'recommended']",great documentary highly recommended,1
"['united', 'state', 'israel', 'terrorest', 'organisation', 'country', 'involoved', 'world', 'war', 'president', 'north', 'korea', 'great', 'men', 'really', 'want', 'live', 'noth', 'korea', 'piece']",united state israel terrorest organisation country involoved world war president north korea great men really want live noth korea piece,1
